Id,SalePrice
1461,121071.76778760296
1462,161707.11464326983
1463,189632.86238330166
1464,190821.61706476912
1465,182684.54212310674
1466,175529.31602042462
1467,163783.49492997632
1468,165957.0695314266
1469,185028.82841322888
1470,126609.14430166142
1471,199849.71702697125
1472,100959.32841709617
1473,98853.64094525433
1474,147196.99056933247
1475,122454.57929868752
1476,401178.4885765278
1477,271423.1536152542
1478,276924.62295081216
1479,290817.0054420374
1480,463312.9232900262
1481,336731.50883737335
1482,214596.87066877118
1483,171381.4509274314
1484,168607.88244290403
1485,178882.4187863609
1486,195060.679104903
1487,338043.56471184955
1488,229592.9273708896
1489,212862.52325004138
1490,212991.0331186408
1491,191402.18111084108
1492,93782.32581945261
1493,181842.66120731606
1494,300073.5012845788
1495,284730.67014013557
1496,225423.02869055903
1497,183302.41003056584
1498,163560.19187682253
1499,163274.0802323791
1500,159691.89387058
1501,188432.63064462668
1502,151968.5450258825
1503,289334.9456723833
1504,232943.41572704786
1505,220366.7714302166
1506,185459.65098998914
1507,249834.55426392285
1508,192934.46273371685
1509,161124.2234456249
1510,147823.24281141348
1511,142851.3032333185
1512,171685.0921519222
1513,136098.71138151258
1514,166570.6377108696
1515,197852.03969035143
1516,150562.23718223078
1517,166491.25207693153
1518,126660.24358068671
1519,227961.14129394476
1520,135232.78575654735
1521,136805.85095528152
1522,166976.0025471018
1523,108000.82627016537
1524,119722.95457279298
1525,127075.1220553552
1526,116201.20602312726
1527,111903.14748863177
1528,136312.84052933956
1529,148424.19761036543
1530,168956.34479442085
1531,100536.38231544981
1532,104147.0469482754
1533,142321.26047870773
1534,124727.30580460318
1535,157204.15006660626
1536,106955.86995879369
1537,72898.78991210676
1538,171284.42014187356
1539,209510.90936382557
1540,115719.31325987076
1541,137413.0353504324
1542,136452.68323435367
1543,208991.44603927387
1544,80761.93552622155
1545,106477.95083480416
1546,131719.77727311142
1547,131066.22977563462
1548,129605.35344795785
1549,113863.23304292645
1550,139897.99389466475
1551,114504.49644058825
1552,145107.885092869
1553,154281.94654073473
1554,112223.99993244711
1555,164619.8714776275
1556,92023.34735002331
1557,108669.33388705914
1558,92767.90158892976
1559,105523.0818753993
1560,131674.31170107733
1561,140857.83546792285
1562,127231.50133657205
1563,121751.97053514242
1564,160713.7905732965
1565,142276.24123866807
1566,238647.78796159808
1567,73991.96100276535
1568,222938.2268770971
1569,144757.32788782753
1570,134054.58161571354
1571,123267.32523067012
1572,149534.47528301465
1573,239480.21754885392
1574,118497.89747510504
1575,211061.20160287147
1576,226673.04618666682
1577,198996.56193644198
1578,149206.534636958
1579,147282.38074219634
1580,189348.07913353085
1581,159469.8272333879
1582,124448.34246141161
1583,324109.14380311366
1584,229181.7209034397
1585,139391.53444706142
1586,76121.315100912
1587,95625.68365926492
1588,152954.00765536158
1589,97632.53678053821
1590,131882.1966473223
1591,88377.65056156422
1592,117641.7851675094
1593,128610.74264539246
1594,163537.20765231646
